seq,date_num,date_val,weeknum,theft,kia_boys,kia_boys_la
313,44921,12/26/22,1198,108,15,0
314,44928,1/2/23,1199,97,13,26
315,44935,1/9/23,1200,96,13,21
316,44942,1/16/23,1201,107,19,0
317,44949,1/23/23,1202,106,24,31
318,44956,1/30/23,1203,88,25,30
319,44963,2/6/23,1204,84,25,25
320,44970,2/13/23,1205,89,25,39
321,44977,2/20/23,1206,81,32,20
322,44984,2/27/23,1207,85,28,33
323,44991,3/6/23,1208,78,26,35
324,44998,3/13/23,1209,78,22,28
325,45005,3/20/23,1210,68,22,19
326,45012,3/27/23,1211,120,17,18
327,45019,4/3/23,1212,107,19,0
328,45026,4/10/23,1213,91,18,20
329,45033,4/17/23,1214,98,24,19
330,45040,4/24/23,1215,88,18,20
331,45047,5/1/23,1216,74,100,39
332,45054,5/8/23,1217,93,31,0
333,45061,5/15/23,1218,118,29,25
334,45068,5/22/23,1219,93,49,25
335,45075,5/29/23,1220,82,42,19
336,45082,6/5/23,1221,102,32,19
337,45089,6/12/23,1222,85,38,33
338,45096,6/19/23,1223,84,33,27
339,45103,6/26/23,1224,113,37,32
340,45110,7/3/23,1225,105,31,39
341,45117,7/10/23,1226,98,33,46
342,45124,7/17/23,1227,92,33,31
343,45131,7/24/23,1228,77,35,29
344,45138,7/31/23,1229,81,32,34
345,45145,8/7/23,1230,127,30,0
346,45152,8/14/23,1231,114,27,0
347,45159,8/21/23,1232,91,32,29
348,45166,8/28/23,1233,91,5,30
349,45173,9/4/23,1234,74,24,25
350,45180,9/11/23,1235,114,23,0
351,45187,9/18/23,1236,104,23,0
352,45194,9/25/23,1237,79,17,32
353,45201,10/2/23,1238,88,20,0
354,45208,10/9/23,1239,84,24,19
355,45215,10/16/23,1240,85,20,21
356,45222,10/23/23,1241,65,21,0
357,45229,10/30/23,1242,76,19,0
358,45236,11/6/23,1243,95,26,0
359,45243,11/13/23,1244,99,26,0
360,45250,11/20/23,1245,84,26,0
361,45257,11/27/23,1246,81,35,27
362,45264,12/4/23,1247,83,29,27
363,45271,12/11/23,1248,74,26,22
364,45278,12/18/23,1249,91,26,31
