filename,first_date
TikTok and other social media trends are thrusting performance crimes into the US spotlight(3).DOCX,"May 22, 2023"
Four teens killed in crash and dangerous TikTok challenge exposed.DOCX,"October 25, 2022"
TikTok theft challenge may not have hit Twin Cities.DOCX,"January 27, 2023"
"Kia , Hyundai settle class-action lawsuit over thefts for $200M. Here's what it covers.DOCX","May 19, 2023"
Insurers Warn Senate Committee of 'Staggering' Increase in Carjacking.DOCX,"March 4, 2022"
Four Buffalo Teens Killed While Attempting TikTok's _ Kia Challenge_.DOCX,"October 27, 2022"
"Digital car keys raise security concerns Smart devices are not foolproof, experts say.DOCX","June 12, 2023"
"TikTok how-tos blamed for Hyundai , Kia thefts.DOCX","July 25, 2022"
A statue of... a Cheeto is placed in a Canadian town_.DOCX,"October 30, 2022"
Cities sue Kia and Hyundai over theft-prone incidents.DOCX,"September 15, 2023"
Notícias Hyundai e Kia pagarão US$ 200 milhões em indenização às vítimas do Kia Boyz.DOCX,"May 23, 2023"
Police halt wheel lock program.DOCX,"May 1, 2023"
"LAWSUIT PLANNED AGAINST KIA , HYUNDAI MADISON CITY COUNCIL _ RASH OF STOLEN CARS.DOCX","March 8, 2023"
TikTok trend is sparking Kia and Hyundai thefts The city is seeing a surge in the stolen vehicles. M.DOCX,"February 23, 2023"
Multiple cities sue Hyundai and Kia over ignition vulnerability that started viral trend.DOCX,"August 29, 2023"
El nuevo reto de TikTok que anima a los jóvenes a robar autos.DOCX,"August 31, 2022"
"South Korean Shares Gain Despite US Inflation Rise, Unchanged Fed Rate Hike Expectations.DOCX","September 14, 2023"
Mobility-challenged B.C. senior's car trashed in apparent TikTok challenge.DOCX,"November 15, 2023"
"Thefts of Kias, Hyundais chase away auto insurers.DOCX","March 22, 2023"
"' Kia Challenge' from TikTok has sparked string of car thefts, police say.DOCX","August 1, 2023"
Kia boys with a badge_ Two STL County police officers responsible for recovering 150+ stolen Kias an.DOCX,"August 13, 2023"
Car thefts on the rise in South Central.DOCX,"February 15, 2023"
How car theft went high-tech.DOCX,"August 15, 2023"
"Lawsuits say Kias, Hyundais targeted.DOCX","September 19, 2022"
Single Mom Seeking Answer To Loneliness Ends Up In Worse Situation.DOCX,"January 10, 2023"
"AAA , Hyundai partner to end auto theft popularized by TikTok trend.DOCX","May 5, 2023"
Violent crime is up in Richmond-area counties — and down in the city.DOCX,"June 27, 2023"
TikTok video sparks a rash of Kia and Hyundai auto thefts in St. Louis area.DOCX,"August 16, 2022"
"Theft of Kias, Hyundais up significantly in Indianapolis.DOCX","July 20, 2023"
"TikTok challenge, Hyundais and Kias robbery explodes.DOCX","September 8, 2022"
Biden's DOJ Is Endangering America ; Garland Will Only Speak Through The Washington Post; The DOJ An.DOCX,"August 11, 2022"
"Police warn of rise in car thefts in Kia , Hyundai models caused by possible design flaw.DOCX","June 30, 2022"
TikTok and other social media trends are thrusting performance crimes into the US spotlight(5).DOCX,"May 22, 2023"
MLG ATTORNEYS AT LAW CALLS ON CALIFORNIA GOVERNOR TO TAKE LEGAL ACTION AGAINST KIA AND HYUNDAI.DOCX,"October 18, 2022"
Why the new UN Climate Report isn't a call to panic.DOCX,"March 21, 2023"
Teenage driver charged in crash of stolen car that killed 4(3).DOCX,"November 22, 2022"
Now cars are being stolen with USB cables_ Hyundai calls for urgent upgrade.DOCX,"February 17, 2023"
Kia Sportage es uno de los vehículos más robados en Estados Unidos_ por qué.DOCX,"October 3, 2022"
' Kia Boys'_ La tendencia que enseña a robar autos Kia y Hyundai viral en TikTok.DOCX,"September 15, 2022"
"Police ID woman, 70, killed in St. Paul hit-run.DOCX","July 19, 2022"
Industria Automotriz.Esto costará el Toyota Yaris Sedán 2023 en México.DOCX,"October 14, 2022"
"Gottheimer, DHS, NJ Law Enforcement Convene Auto Theft & Port Security Roundtable - Update on DHS Ef.DOCX","April 6, 2023"
"Kia , Hyundai thefts create legal mess 15 suits filed so far as videos give hot-wire how-to.DOCX","September 26, 2022"
Teenage driver charged in crash of stolen car that killed 4.DOCX,"November 22, 2022"
TikTok and other social media trends are thrusting performance crimes into the U.S. spotlight.DOCX,"May 23, 2023"
Halloween pranks once vexed many Ohio communities.DOCX,"October 26, 2023"
KB-3_doclist.DOCX,"Feb 04, 2022"
Gates of Vienna News Feed 8_26_2022.DOCX,"August 27, 2022"
Beware if you own a Kia or Hyundai _ thefts skyrocket due to a TikTok fad.DOCX,"September 10, 2022"
How Kia and Hyundai Responded To the Viral Theft Trend.DOCX,"July 18, 2023"
Car thefts are soaring in Richmond.DOCX,"July 24, 2023"
Hyundai offers St. Paul vehicle owners free security upgrades.DOCX,"November 9, 2023"
Kia and Hyundai Have a Really Bad TikTok Problem.DOCX,"August 30, 2022"
Senate Judiciary Committee Hearing _Federal Support for Preventing and Responding to Carjackings._ T.DOCX,"March 1, 2022"
"Kia, Hyundai OK $200M car-theft flaw settlement.DOCX","May 23, 2023"
Kia and Hyundai issue anti-theft updates in response to viral TikTok challenge that led to eight fat.DOCX,"February 15, 2023"
MT Magazine Ciberataques sobre ruedas_ ¿Qué tan fácil es hackear un auto_.DOCX,"April 18, 2023"
Hyundai and Kia launch new software after viral TikTok challenge spurs thefts.DOCX,"February 14, 2023"
Kia EV6 2022 supera en ventas al Kia Carnival para afianzar el camino de la marca hacia la electrifi.DOCX,"September 15, 2022"
"Kia , Hyundai thefts soared by 836% in Minneapolis.DOCX","March 3, 2023"
"Kia Recalls Over 70,000 SUVs Due To Sporadic Fire Hazard Again, Tells Owners To Park Away From Homes.DOCX","October 27, 2022"
It's like Draft Day at this Mpls. pre-K graduation.DOCX,"August 18, 2023"
